,PI,H-Index
468,Hua Qin,24
469,Patrick Harker,59
470,Elke Weber,96
471,Arie Lewin,66
472,Glenn Guntenspergen,51
473,Michael Oppenheimer,90
474,Christine Moorman,49
475,Joseph Mazzola,24
476,Ronald Brunner,4
477,Klaus Keller,52
478,Garey Ramey,35
479,Naomi Kakoschke,18
480,Gordon Walker,70
481,Caroline Bennette,52
482,William Bogart,2
483,David Godschalk,36
484,Janet Yang,39
485,Edwin Sabuhoro,9
486,Mira Frick,9
487,Scott de Marchi,16
488,Angela Fagerlin,78
489,Nathan Dieckmann,39
490,Matthew Jensen,29
491,Botond Koszegi,35
492,Christofer Skurka,12
493,Christine Smith,41
494,Mary Riddel,24
495,John Gastil,60
496,Linda Babcock,8
497,John Chandler,17
498,Robert Meyer,88
499,Richard John,85
500,Jessica Witt,39
501,Paul Rozin,128
502,Jerald Schnoor,76
503,James Fraser,59
504,Marco Palma,25
505,Jay Simon,99
506,Alessandra Cassar,20
507,Hengchen Dai,22
508,Michael Lindell,79
509,Duncan Thomas,94
510,Richard Hooper,61
511,Leaf Van Boven,48
512,Louis Narens,36
513,Scott Atran,74
514,Amanda Carrico,28
515,Peter Bossaerts,54
516,Thomas Stewart,67
517,Jennifer Lerner,49
518,Christopher Weible,58
519,Lynne Weber,0
520,David Weimer,49
521,David McEvoy,18
522,Don Fullerton,62
523,Jacopo Magnani,6
524,John Scholz,44
525,Kurt Waldman,22
526,Jacqueline Evans,22
527,Elizabeth Shanahan,26
528,Jeremy Magruder,16
529,Elizabeth Anderson,81
530,Julie Swann,34
531,Hwanseok Song,8
532,Dominic Massaro,82
533,Sarah Bonner,22
534,Richard Fowles,15
535,Sauleh Siddiqui,28
536,Bernard Grofman,80
537,Tracy Kijewski-Correa,32
538,Hank Jenkins-Smith,56
539,Bryan Routledge,28
540,Rob DeLeo,10
541,Jane Brown,34
542,Neville Moray,55
543,Thomas Morin,72
544,Natalia Candelo,9
545,Baruch Fischhoff,129
546,John Dennis,108
547,Sarah Tashjian,17
548,Michelle Shumate,35
549,William Cooper,75
550,Paul Stern,88
551,Marcela Benitez,6
552,Daniel Oppenheimer,39
553,Timothy Besley,100
554,Macartan Humphreys,46
555,Elena Erosheva,25
556,Susan Jacobson,10
557,Christos Cassandras,70
558,Kurt Lavetti,10
559,Kishore Gawande,29
560,Robert Hoskisson,86
561,Mark Borsuk,44
562,David Knoke,60
563,Benjamin Golub,20
564,Jonathon Cummings,34
565,Tara Grillos,11
566,William Wallace,53
567,Edward Rubin,120
568,M. Spence,48
569,Annie Zhang,16
570,Iain Cockburn,48
571,Christopher Hsee,51
572,Catherine Eckel,61
573,Russell Winer,48
574,Sara Guenther,13
575,Peter Liberman,16
576,Anne Miner,37
577,Courtney Flint,36
578,Michael Xenos,51
579,Benigno Aguirre,43
580,Sander van der Leeuw,53
581,Douglas Wedell,35
582,Diana Mitsova,16
583,Dolores Albarracin,62
584,Enrico Bertini,116
585,Francis McMichael,24
586,T.K. Ahn,64
587,Jeffrey Vancouver,43
588,Noshir Contractor,63
589,Ryota Iijima,14
590,Adena Rissman,31
591,Paul Thibodeau,23
592,Joshua Duke,219
593,Janet Pack,10
594,Amy Farmer,26
595,Milton Harris,81
596,Hannah Riley,19
597,Bruno Takahashi,27
598,Giuseppe Pagnoni,42
599,Thomas Jacobson,62
600,Michael Dodd,30
601,Leslie DeChurch,44
602,Richard Barke,43
603,Joseph Ripberger,25
604,Robert Boyd,125
605,David Dickinson,72
606,James Carroll,103
607,John Hansen,75
608,James Shortle,46
609,Emily Rauscher,36
610,Brent Scott,37
611,Jacopo Baggio,33
612,John Kanet,46
613,Gregory Caldeira,48
614,Heather Royer,18
615,Sixiao Liu,12
616,SUBHRAJIT GUHATHAKURTA,32
617,Eyal Aharoni,21
618,Michael Zazanis,16
619,Carter Hunt,23
620,Jonell Strough,41
621,James Richardson,44
622,Robert Wolpert,42
623,Tanya Heikkila,44
624,Haoning Xue,4
625,Anjani Jain,4
626,Gary Dickson,5
627,David Heath,155
628,Meng Li,84
629,Ethan Porter,22
630,Jeanine Skorinko,21
631,Susan Joslyn,115
632,Charles Wood,54
633,Jennifer Vendemia,20
634,Deserai Crow,25
635,Surya Pathak,82
636,Joseph Guerriero,53
637,Guillaume Frechette,30
638,Raksha Balakrishna,3
639,Marshall Poole,78
640,Thi Tran,118
641,Wendy Thomas,37
642,Daniel Hruschka,40
643,Robert Josephs,29
644,Melissa Kenney,22
645,Jessica Myrick,30
646,Vaughan Rees,30
647,James Shepperd,55
648,James Lambert,44
649,Shauna BurnSilver,23
650,Jennifer Cowley,24
651,Eric Toman,24
652,Karen O'Neill,15
653,Todd Hare,50
654,Kimberley Shoaf,23
655,Virginia Sapiro,32
656,John Horowitz,83
657,Nathan Smith,26
658,Bonnie Ghosh-Dastidar,45
659,Emily Cox,9
660,Casey Mullen,7
661,David Rosner,13
662,Patrick Laughlin,38
663,Penelope Sanderson,47
664,Laurie Weingart,45
665,Lauren Ratliff,19
666,Ezra Markowitz,34
667,Subimal Chatterjee,21
668,Harvey Gold,1
669,Toby Parcel,39
670,Kathleen Eisenhardt,89
671,Silvia Saccardo,17
672,David Lam,43
673,Donald Kinder,62
674,Gerald Fryxell,38
675,Rumi Chunara,30
676,Farhod Yuldashev,1
677,David Kaiser,57
678,Todd McElroy,22
679,Haewon Yoon,8
680,Terrance Hurley,34
681,James Walker,56
682,Robert Berrens,41
683,Troy Abel,12
684,Kenneth Broad,38
685,Royce Francis,12
686,Angel Gomez,87
687,James Hamilton,69
688,Vitoria Cardoso,7
689,Ana Franco-Watkins,15
690,Edward Vul,41
691,Lyle Ungar,97
692,Mark Schneider,8
693,Jeffrey Keisler,38
694,Alan Sanfey,56
695,Robert Lempert,63
696,Anthony King,130
697,Jeffrey Lazo,39
698,Steven Manson,56
699,Douglas Rice,60
700,Geoffrey Cohen,109
701,Michael Philpott,55
702,Taosheng Liu,32
703,Mindy Mallory,18
704,James Hammitt,72
705,Lu Hong,95
706,Alvin Roth,110
707,Massimo Morelli,38
708,William Judge,52
709,Yu Xiao,49
710,Dave White,55
711,David Andow,64
712,John Carroll,107
713,Sarah Stafford,19
714,Eli Berman,33
715,Wallace Hopp,54
716,Barry Horowitz,87
717,Kyle Hunt,11
718,Dennis Epple,50
719,Heather Truelove,20
720,Gary Bradshaw,31
721,James Peck,30
722,Xavier Gabaix,57
723,Robert Storer,27
724,Ioannis Paschalidis,49
725,Claudia Gonzalez-Vallejo,25
726,Brian Elbel,42
727,Radhika Lunawat,7
728,William Bianco,21
729,Donald Richards,10
730,Graham Dixon,21
731,Timothy Earle,57
732,Nora Schaeffer,35
733,James Hess,2
734,Destenie Nock,17
735,Sarah Brosnan,53
736,Aaron McCright,51
737,Robert Kaufman,62
738,Michael Campbell,98
739,Edella Schlager,39
740,George Nemhauser,89
741,Charles Benight,48
742,Joshua Tenenbaum,145
743,Max Pfeffer,7
744,Ronald McGarvey,15
745,Peggy Policastro,8
746,Charles Thompson,65
747,Jessica Holmes,6
748,Geoffrey West,78
749,Cristine Legare,49
750,Jay Aronson,80
751,William Hallman,42
752,John Jasper,18
753,Lee Clarke,106
754,Gary Gaeth,32
755,Ronaldo Vigo,16
756,Vincent Mak,14
757,Brian Lickel,42
758,Warren Miller,51
759,Jeffrey Stevens,36
760,Bairong Wang,11
761,Alberto Rossi,33
762,Edward Wellman,3
763,Carla Prater,39
764,Nicholas Lange,31
765,Srilata Zaheer,30
766,Karen Richman,14
767,Carolyn Kousky,40
768,Christopher Chartier,20
769,Alka Sapat,20
770,Randy Simmons,18
771,Jacob Goeree,51
